date,description,slides,repo,video,notes
"June 14, 2022","Megsie Siple will be sharing an introduction to building and publishing shiny apps!
",,,,
"July 19, 2022","Christine Stawitz will share how she is using the GitHub API to create status emails in R. After the demo, we'll discuss how we can use Christine's efforts to possibly create a user-friendly R package that everyone can benefit from!",,,,
"August 23, 2022","Are you using Quarto already? Trying it out, but running into an issue? Discovered a cool new feature? Or maybe you've just been too busy to try it? In any case, come join us for a discussion of all things Quarto and to learn and share with colleagues!",,https://github.com/orgs/nmfs-opensci/repositories?q=quarto&type=template&language=&sort=,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=id.jkub6qrd74gn
"September 27, 2022",We will be discussing and answering questions about a agency-wide GitHub Enterprise account. This is a visioning discussion. What questions do you as users and local GH organization admins have? What features are essential to you? Why would we want this versus staying with the status quo?,,,,https://docs.google.com/document/d/1tOtPFaGw2dLvPHO4-bQTrE8j9QxvlHeTG6pN5yyw7yY/edit#heading=h.kccqb8y7f90c
"October 25, 2022","Trick or treat for R tips! Come prepared to show-and-tell, discuss, or listen to members as they share favorite tips in R. These can be tips for the beginner, for preparing data products, that elevate workflows, improve collaboration, general resources, or anything between!",,,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=id.sm6m37glqs29
"November 29, 2022",Kathryn Doering will present R Projects in github.dev/github Codespaces,https://docs.google.com/presentation/d/17BYfqPWTh6zyZNj0ejXo0mX44O_h9KNMTv6iaZTa7fQ/edit?usp=sharing,https://github.com/nmfs-opensci/r-vscode-codespaces,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=id.hhi8c95e5p2t
"December 13, 2022",R UG members share session: Ugly Plots and Better! Using ggplot like a pro.,,,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.4rwy5v9b7btf
"December 13, 2022",Monthly Posit Connect series: Most Useful Features of RStudio IDE you don't know,https://colorado.posit.co/rsc/the-unknown/into-the-unknown.html,https://github.com/jeremy-allen/posit-webinar-series/tree/main/01-ide-tips,https://drive.google.com/file/d/1_YHPBgSqh6Z7vxMjv7_5D7OQb0wJiwCa/view?usp=sharing,
"January 10, 2023",Monthy Posit Connect series: R Markdown and flexdashboard,https://github.com/jeremy-allen/posit-webinar-series/blob/main/02-rmarkdown/why-rmarkdown.Rmd,https://github.com/jeremy-allen/posit-webinar-series/tree/main/02-rmarkdown,https://drive.google.com/file/d/15fe7geggmRH0_t9AatAuHHTSB-3lDR_q/view?usp=sharing,
"January 31, 2023",Lightning Talks! Hem Nalini Morzaria-Luna | Using package vertical to creating packages for scientific papers Andy Beet | stocksmart: an R data package Andrea Havron | Fisheries Integrated Modeling System (FIMS) Alana Santana and Rory Spurr | Research permit visualization app Greg Williams | Automating California Current Ecosystem Status Reports for the PFMCouncil Eli Holmes | Creating NOAA reports with R and Quarto using the quarto_titlepages extension Em Markowitz | Converting data reports to dynamic R Markdown feat. the Bering Sea bottom trawl survey data report Sean Rohan | coldpool: Cold pool area and temperature from the eastern Bering Sea Em Markowitz | AFSC Groundfish Survey Data in Fisheries One Stop Shop (FOSS): Sharing Survey Data with the World Elizabeth Gugliotti | Creating a rstudio connect api and using it to run a model/get model results Meg Oshima | Automating SS model development workflow Felipe Quezada | CPS cluster and bayesian modelling for landings Desiree Tommasi | Bluefin tuna MSE Brian Smith | Knee-deep in fish guts: sharing metadata and creating interactive products with Shiny and RMarkdown Catherine Foley | Operational Tools for the NEFSC Northeast Bottom Trawl Survey,https://drive.google.com/drive/u/0/folders/1bPXBBU_cJygABtKzdLp6PZFP7V6BKSfo,,https://youtu.be/fmXPzEJG8ms,
"February 3, 2023","Christine Stawitz gave a presentation on FIMS at the University of Washington Quantitative Friday Seminar: The Fisheries Integrated Modeling System, a new modular paradigm for fisheries stock assessment",https://docs.google.com/presentation/d/1GFZQ3y2yTx9-J1vofIoQp2rJU3urHKYC/edit?usp=sharing&ouid=110841690948247170494&rtpof=true&sd=true,,https://www.youtube.com/watch?v=iDMO7YjRMuk,
"February 14, 2023",Monthy Posit Connect series: Fall in love with Quarto for Reproducible Report Writing ,https://colorado.posit.co/rsc/quarto-reporting/quarto-for-reporting.html,https://github.com/jeremy-allen/posit-webinar-series/tree/main/03-quarto,,
"February 28, 2023",Eli Holmes gave an introduction to connecting to REST APIs with R,,https://nwfsc-math-bio.github.io/rCAX/,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#
"March 28, 2023",Brandon Kopp from the Bureau of Labor Statistics gave a talk on Natural Language Processing,https://blspublicinfo.s3.amazonaws.com/2023-03-28_Natural+Language+Processing+Introduction_NOAA+Fisheries.pdf,,,
"May 2, 2023","Emily Markowitz, Joshua London, and Brian Fadely present NOAA Federal Citations in the R ecosystem",,,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.n8axlbo2njqc
"May 23, 2023",Using the NOAA Fisheries Integrated Toolbox (NOAA FIT) with Kathryn Doering (OST),https://docs.google.com/presentation/d/1XbowlSuhfavGPKylrHstZF1EwT8pntXwnF_GwQlWoKE/edit?usp=sharing,https://noaa-fisheries-integrated-toolbox.github.io/,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.eq0r1z8aisrh
"June 27, 2023",Beginner Docker for R users with Eli Holmes (NWFSC),https://rverse-tutorials.github.io/RWorkflow-NWFSC-2023/week1-introtodocker-cs.html,,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.gm4xr259w07j
"July 25, 2023",Intro to Template Model Builder (TMB) with Andrea Havron,https://nsawtraining.github.io/TMBtraining/01-beginner-tmb/00_01_a_TMB_Intro.html#1,https://nsawtraining.github.io/TMBtraining/01-beginner-tmb/00_01_a_TMB_Intro.html#1,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.i4cmqemmuckf
"August 15, 2023",Test R code with {testthat} with Bai Li (OST),https://bai-li-noaa.github.io/testdemo/inst/presentation/testing-r-code-with-testthat.html#1,https://github.com/Bai-Li-NOAA/testdemo,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.up749dz9ucvt
"September 26, 2023",{CiteSource} R package with Trevor Riley (NOAA Central Library). CiteSource is an R package that was developed to help researchers better understand the impact of various literature resources and search methodologies. ,,https://github.com/ESHackathon/CiteSource,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.sr1k7b6n12l3
"November 7, 2023",Trick and treat in R!: Discussion and code sharing and Posit Conf Digest (with Brian Fadely),,,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.h2rkn078saws
"December 5, 2023",Eric Ward (NWFSC) will discuss a project to create a standardized and combined US-Canada transboundary bottom trawl data from the North Pacific. ,https://docs.google.com/presentation/d/1rkKInOO37dEwddEjuoTDN_9tkfEuHKUxg3EFg_bwWXk/edit?usp=sharing,https://github.com/DFO-NOAA-Pacific/surveyjoin,,https://docs.google.com/document/d/1mrgtrSXVtPCTxrpBa_0ZbxEsnK9vcQzs6RIV3f-OTPw/edit#bookmark=kix.a7r1e92ebhii
